term,type_guess,definition,example_sentence,rationale,confidence
Manufacturing Pilot,class,A specific pilot related to manufacturing processes,# AI4Work-D1.1 (2024) - Pilots Requirements Analysis & Update of SotA,No matching term found in the ontology dictionary,0.8
Manufacturing,class,The process of making products on a large scale,# AI4Work-D1.1 (2024) - Pilots Requirements Analysis & Update of SotA,Implied by the context of 'Manufacturing Pilot',0.7
AI-powered digital production assistant,instance,An AI system designed to bridge knowledge gaps among operators and between operators and machines.,The manufacturing pilot aims to address this issue with an AI-powered digital production assistant designed to bridge the knowledge gaps among operators and between operators and machines.,"Term not found in ontology, but it is a clear concept based on context.",0.9
Production halts,class,Interruptions in the production process.,"Consequently, this leads to inconsistent production reliability across different shifts, characterized by more frequent production halts and extended repair times, particularly during night shifts which lack experienced operators (despite the need for continuous operation).","Term not found in ontology, but it is a clear concept based on context.",0.9
Repair times,data_property,The duration of time required to repair equipment or machinery.,"Consequently, this leads to inconsistent production reliability across different shifts, characterized by more frequent production halts and extended repair times, particularly during night shifts which lack experienced operators (despite the need for continuous operation).","Term not found in ontology, but it is a clear concept based on context.",0.9
Experienced workers,instance,Individuals with extensive knowledge and skills in a particular field or task.,"The manufacturing pilot aims to address this issue with an AI-powered digital production assistant designed to bridge the knowledge gaps among operators and between operators and machines. This involves a crucial challenge: determining how to effectively and legally monitor operator actions. Possible methods include recording via cameras, using sensors or wearables, or having operators orally or in writing document their tasks.","Term not found in ontology, but it is a clear concept based on context.",0.9
Monitor operator actions,object_property,The act of observing or recording an operator's actions during work.,"Possible methods include recording via cameras, using sensors or wearables, or having operators orally or in writing document their tasks.","Term not found in ontology, but it is a clear concept based on context.",0.9
Legal monitoring,class,The practice of monitoring activities in compliance with relevant laws and regulations.,"Possible methods include recording via cameras, using sensors or wearables, or having operators orally or in writing document their tasks. This involves a crucial challenge: determining how to effectively and legally monitor operator actions.","Term not found in ontology, but it is a clear concept based on context.",0.9
State of the Art,class,"A current level of development or attainment, especially in a particular field.",## 3. Update of State of the Art,No matching term found in the ontology dictionary.,0.9
human representation within an industrial DT,class,A digital representation of a human in an industrial digital twin.,"The creation of a digital twin of the human being itself aims to create a digital representation of the person, including physical parameters and possibly including a data connection monitoring the physical state of the individual.",Term is not found in the ontology dictionary but seems to be an important concept inferred from the text.,0.9
adequate data model,data_property,A suitable data structure for representing workers and their interactions with other assets of the system in a digital twin.,The main additions are in the data persistence module where an adequate data model needs to be integrated for the representation of the workers and their interactions with other assets of the system.,Term is not found in the ontology dictionary but seems to be an important concept inferred from the text.,0.8
human factors,class,The uncertainties and variabilities of human behavior.,"In the behavioural and decision module, where the scientific challenge resides, to include human factors.",Term is not found in the ontology dictionary but seems to be an important concept inferred from the text.,0.7
Sliding Work Sharing Mechanisms (SWS),class,"A system that allows for the balance between human and machine activities to vary during operation, depending on the situational context, machine-based confidence levels and human interactions","'Sliding work sharing' is defined as an approach where the balance between human and machine activities varies during the operation, depending on the situational context, machine-based confidence levels and human interactions",Term derived from context,0.9
Adjustable Autonomy,class,"A system that allows for the level of autonomy to vary during operation, depending on the respective situation","Sliding autonomy, also called 'adjustable autonomy', was researched extensively in the domains of robotics and (multi-)agent systems",Term mentioned in context but not found in ontology,0.9
Ten Levels of Automation,class,A set of ten levels that can be used to differentiate potential levels of autonomy,"A variety of potential levels of autonomy may be differentiated, e.g. considering the ten levels of automation suggested in",Term mentioned in context but not found in ontology,0.8
Pilot Specific SotA,class,A specific state-of-the-art pilot review,## 4. Pilot Specific SotA review,"The term does not match any existing ontology classes, but it seems to be a new concept related to a specific pilot review of the state-of-the-art.",0.9
