term,type_guess,definition,example_sentence,rationale,confidence
Manufacturing,class,A type of industry or production process that involves the physical creation of goods.,# AI4Work-D1.1 (2024) - Pilots Requirements Analysis & Update of SotA,"Not found in ontology, but a common term related to industry and production.",0.8
Pilots,class,"A test or trial of a system, product, or service in real-world conditions.",# AI4Work-D1.1 (2024) - Pilots Requirements Analysis & Update of SotA,"Not found in ontology, but a common term related to testing and trials.",0.9
Operational Equipment Effectiveness (OEE) Assessment,class,A method for evaluating the performance of production equipment.,"The AI-powered digital production assistant will link specific maintenance and repair operations to different types of failures, assessing and ranking their effectiveness based on metrics such as mean time to repair and possibly the time until a similar or related failure occurs again.",This term is not found in the provided ontology but seems relevant to the context.,0.7
Legal Monitoring Method,class,A method for monitoring operator actions while complying with privacy and labor laws.,Determining how to effectively and legally monitor operator actions is a crucial challenge in capturing knowledge from experienced workers.,This term is not found in the provided ontology but seems relevant to the context.,0.6
Operator Skill Level Assessment,class,A method for evaluating an operator's proficiency and experience level.,"The AI-powered digital production assistant will provide targeted instructions to operators, tailored to their varying levels of experience to maximize productivity on the line.",This term is not found in the provided ontology but seems relevant to the context.,0.6
State of the Art,class,"A current level or stage in a particular area of study, technology, or practice.","""3. Update of State of the Art""","No exact match found in ontology, but it seems to be a concept related to technology or practice.",0.8
Human-Cyber-Physical-Systems,class,A system that includes advanced human-machine interaction technologies and adaptive automation towards achieving human-automation symbiosis work systems.,The operator 4.0 works aided by machines and if needed by means of Human-Cyber-Physical-Systems.,"Not found in the ontology, but seems to be a specific type of system related to Industry 5.0.",0.8
decentralized computational decision-making process,object_property,A process that allows humans to take part in a decision-making process using HDTs.,"HDTs are proposed to collect and communicate workers’ skills, preferences, personality and to enable humans to take part to a decentralized computational decision-making process which leads to an improved scheduling.","Not found in the ontology, but seems to be a specific type of process related to HDTs.",0.7
Sliding Autonomy Mechanisms (SAM),class,"A system that allows for varying the level of autonomy during operation, depending on the respective situation.","In most of the AI4Work pilots, the work sharing will be between human and AI, while only few use cases will deal with work sharing between human and robot. Therefore, when considering the state of the art regarding sliding autonomy of robots in the upcoming development of SAM mechanisms, a basic difference between robots and AI must be considered: a human can rather easily see that a physical robot requires help or could become a safety hazard, but this may not be as easy or even impossible for a human working together with and observing an AI.",The term is mentioned in the context of upcoming development of SAM mechanisms.,0.9
Pilot Specific SotA,class,A specific state-of-the-art review related to a pilot,## 4. Pilot Specific SotA review,"The term is not found in the provided ontology dictionary, but it seems to be a unique concept based on its context.",0.9
E-CO Flex machine,instance,A specific type of packaging/boxing plant hardware used in the scenario.,The context of the described scenario involves an e-commerce packaging/boxing plant populated with several IMA E-CO Flex machines...,Not found in the ontology but mentioned multiple times in the text.,0.9
IMA E-CO Flex,class,A specific type of packaging/boxing plant hardware used in the scenario.,The context of the described scenario involves an e-commerce packaging/boxing plant populated with several IMA E-CO Flex machines...,Not found in the ontology but mentioned multiple times in the text.,0.9
